Epoch,Loss (Total),Loss (Policy),Loss (Value),Loss (L2),Time [s]
1,6.105195045471191,4.397043228149413,1.4805576801300049,0.22759374976158145,3782.0710172653203
2,5.543478012084961,4.152753829956056,1.1629891395568848,0.2277349680662155,7324.164019346236
3,5.344300746917725,4.070866584777832,1.0454126596450806,0.22802098095417025,11194.621019124983
4,5.214195728302002,3.978437185287476,1.0074008703231812,0.2283577769994736,14870.613007068632
5,5.076474189758301,3.8385982513427734,1.0095269680023193,0.22834879159927368,18849.295974493027
6,4.8815507888793945,3.6485073566436768,1.0051052570343018,0.2279375046491623,22872.13801908493
7,4.7206645011901855,3.480956792831421,1.011992335319519,0.22771553695201874,26501.94897031784
8,4.374819755554199,3.2839815616607666,0.8631157279014587,0.22772225737571716,30172.627967834473
9,4.196834087371826,3.103506565093994,0.8653767704963684,0.2279503047466278,34146.28995060921
10,3.9798247814178467,2.8713812828063965,0.8801565170288086,0.2282872498035431,38075.46498441696
11,3.91906476020813,2.734408140182495,0.9561073184013367,0.22854919731616974,41999.542016506195
12,3.721595048904419,2.537788152694702,0.9551629424095154,0.22864364087581635,45811.47801184654
13,3.6238503456115723,2.4418540000915527,0.9535872340202332,0.22840888798236847,49618.34796643257
14,3.5083670616149902,2.321120262145996,0.9592647552490234,0.22798243165016174,53410.40998673439
